timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1683041660873,2009,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,90869,268,23,23,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",1634,0,0
1683041661591,1306,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,90871,268,23,23,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",932,0,0
1683041660880,2018,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,90860,268,23,23,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",1695,0,0
1683041660850,2053,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,90869,268,23,23,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",1834,0,0
1683041658897,4028,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,80110,206,23,23,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3828,0,97
1683041659033,3977,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-21,text,true,,80110,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3870,0,42
1683041658894,4133,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-18,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3811,0,129
1683041658898,4138,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-17,text,true,,80110,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3811,0,113
1683041662728,358,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,true,,90869,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",199,0,0
1683041658896,4190,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-7,text,true,,80099,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3583,0,95
1683041658894,4202,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-11,text,true,,80110,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3587,0,110
1683041662800,305,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-9,text,true,,90871,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",194,0,0
1683041662873,258,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-4,text,true,,90871,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",142,0,0
1683041662873,259,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-13,text,true,,90869,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",146,0,0
1683041658894,4238,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-16,text,true,,80110,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,3876,0,163
1683041662869,446,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-8,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,311,0,261
1683041662829,489,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-2,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,345,0,287
1683041662899,425,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-5,text,true,,80108,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,289,0,222
1683041662904,421,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-6,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,282,0,220
1683041662832,502,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,351,0,289
1683041662882,457,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-20,text,true,,80108,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,310,0,239
1683041663002,338,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-24,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,203,0,137
1683041662880,461,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-10,text,true,,80108,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,316,0,251
1683041662898,505,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-3,text,true,,80111,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,443,0,233
1683041662883,548,HTTP Request,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-15,text,true,,80108,206,24,24,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,490,0,252
1683041662727,896,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-23,text,true,,90869,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",811,0,0
1683041661653,1975,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-1,text,true,,90869,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",1887,0,0
1683041662926,713,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-14,text,true,,90869,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",667,0,0
1683041660863,2834,HTTP Request2,200,OK,bzm - Concurrency Thread Group-ThreadStarter 1-12,text,true,,90859,268,24,24,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",2768,0,0
1683041771234,260,HTTP Request,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,bzm - Concurrency Thread Group-ThreadStarter 1-22,text,false,,3115,0,50,50,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,0,0,105
1683041771231,573,HTTP Request,Non HTTP response code: org.apache.http.TruncatedChunkException,"Non HTTP response message: Truncated chunk (expected size: 31,741; actual size: 11,364)",bzm - Concurrency Thread Group-ThreadStarter 1-29,text,false,,1297,0,50,50,https://api.tfl.gov.uk/Journey/JourneyResults/Staines%20Bus%20Station/to/London%20Bridge?from=TW184LY&to=EC4R3AE,236,0,91
1683041771231,264,HTTP Request2,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,bzm - Concurrency Thread Group-ThreadStarter 1-19,text,false,,2433,0,50,50,"https://api.tfl.gov.uk/Journey/JourneyResults/Wembley%20Central,%20Wembley%20Central%20Station/to/Ashford%20(Surrey)%20Rail%20Station/?date=20230504&time=1100&timeis=Arriving",161,0,68
